web-scraper-order,web-scraper-start-url,link
"1724903140-1","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","online education service"
"1724903140-2","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","SHE School Manager"
"1724903140-3","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Mathura Sainik School"
"1724903140-4","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","cbse education service"
"1724903140-5","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Educational Services"
"1724903140-6","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Educational Services"
"1724903140-7","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Education Consultancy Services"
"1724903140-8","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Educational Services"
"1724903140-9","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","child education service"
"1724903140-10","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Education Services"
"1724903140-11","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","online education service"
"1724903140-12","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","B.Tech"
"1724903140-13","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Best School in UP"
"1724903140-14","https://www.indianyellowpages.com/mathura/educationalinstitutionsandservices.htm","Education service provider"
